Manufacture,Model,Price,Benzine,Chassis,Status
Audi,A3 Sportback,504,Benzine,Hatchback,new
Peugeot,e-2008,504,Elektriciteit,SUV,new
Audi,Q2,509,Benzine,SUV,new
BYD,ATTO 3,509,Elektriciteit,SUV,new
Volkswagen,T-Roc,509,Benzine,SUV,new
Ford,Kuga,509,PHEV benzine,SUV,new
Abarth,500e,509,Elektriciteit,Hatchback,new
Peugeot,308 SW,509,Benzine,Stationwagen,new
Jeep,Renegade,509,Benzine,SUV,new
Renault,Arkana,509,Hybride benzine,SUV,new
Hyundai,KONA Electric,514,Elektriciteit,SUV,new
Audi,A3 Sportback,514,Benzine,Hatchback,new
Mazda,MX-5 Roadster,514,Benzine,Cabriolet,new
BMW,1 Serie,514,Benzine,Hatchback,new
Kia,Niro EV,519,Elektriciteit,Hatchback,new
DS,3,519,Elektriciteit,SUV,new
Kia,Ceed Sportswagon,524,PHEV benzine,Stationwagen,new
Abarth,500e Cabrio,524,Elektriciteit,Cabriolet,new
Skoda,Karoq,524,Benzine,SUV,new
Renault,Grand Scénic,529,Benzine,MPV,occasion
Mercedes-Benz,B-Klasse,529,Benzine,MPV,occasion
Renault,Austral,534,Benzine,SUV,new
Volkswagen,Golf,539,Benzine,Hatchback,new
Tesla,Model S,544,Elektriciteit,Hatchback,occasion
Opel,Grandland,544,Benzine,SUV,new
Mazda,MX-30 PHEV,544,PHEV benzine,SUV,new
Mitsubishi,ASX,544,PHEV benzine,SUV,new
Mazda,6 Sportbreak,549,Benzine,Stationwagen,occasion
Mitsubishi,Eclipse Cross,549,PHEV benzine,SUV,new
Cupra,Born,549,Elektriciteit,Hatchback,new
DS,4,549,Benzine,Hatchback,new
Mini,Cooper S,549,Benzine,Hatchback,new
Mercedes-Benz,CLA,559,Benzine,Sedan,occasion
Opel,Astra,559,PHEV benzine,Hatchback,new
BMW,2 Serie Gran Coupé,559,Benzine,Sedan,new
Volkswagen,Golf Variant,569,Benzine,Stationwagen,new
Kia,EV6,569,Elektriciteit,SUV,new
Mazda,CX-5,569,Benzine,SUV,new
Hyundai,Tucson,574,Benzine,SUV,new
Hyundai,IONIQ 6,574,Elektriciteit,Sedan,new
Lynk & Co,01,574,PHEV benzine,SUV,new
BMW,3 Serie Sedan,579,Benzine,Sedan,occasion
Volvo,S60,579,Benzine,Sedan,occasion
Opel,Astra Sports Tourer,579,PHEV benzine,Stationwagen,new
Kia,Niro,579,PHEV benzine,Hatchback,new
Mercedes-Benz,A-Klasse Limousine,579,Benzine,Sedan,new
Peugeot,e-308,584,Elektriciteit,Hatchback,new
Renault,Austral,584,Hybride benzine,SUV,new
Mercedes-Benz,A-klasse hatchback,584,Benzine,Hatchback,new
Mini,Clubman,589,Benzine,Stationwagen,new
Peugeot,3008,589,Benzine,SUV,new
Toyota,Prius,589,PHEV benzine,Hatchback,new
Mercedes-Benz,A-klasse,599,Benzine,Hatchback,occasion
Volvo,V60,599,Benzine,Stationwagen,occasion
Peugeot,508 SW,599,Benzine,Stationwagen,occasion
Hyundai,Tucson,599,Hybride benzine,SUV,occasion
Hyundai,Tucson,599,Hybride benzine,SUV,new
Peugeot,e-308 SW,599,Elektriciteit,Stationwagen,new
Toyota,bZ4X,599,Elektriciteit,SUV,new
DS,4,599,PHEV benzine,Hatchback,new
Skoda,Enyaq,599,Elektriciteit,SUV,new
Peugeot,408,599,Benzine,Hatchback,new
Hyundai,Tucson,604,Benzine,SUV,occasion
BMW,2 Serie Active Tourer,604,Benzine,MPV,new
Peugeot,308 SW,609,PHEV benzine,Stationwagen,new
Citroen,C5 Aircross,614,PHEV benzine,SUV,new
Peugeot,308,614,PHEV benzine,Hatchback,new
Seat,Tarraco,619,Benzine,SUV,occasion
Opel,Grandland,619,PHEV benzine,SUV,new
